date,commodity,total_allocated_qty,states_reporting
2017-01-31,rice,19800.38,2
2017-01-31,wheat,4609.200000000001,1
2017-02-28,rice,7154.43,2
2017-02-28,wheat,1565.3200000000002,1
2017-03-31,rice,7154.88,2
2017-03-31,wheat,1565.3200000000002,1
2017-04-30,rice,7154.67,2
2017-04-30,wheat,1565.3200000000002,1
2017-05-31,rice,7609.34,2
2017-05-31,wheat,1578.26,1
2017-06-30,rice,7607.71,2
2017-06-30,wheat,1578.26,1
2017-07-31,rice,7606.75,2
2017-07-31,wheat,1578.26,1
2017-08-31,rice,13953.98,12
2017-08-31,wheat,1913.21,8
2017-09-30,rice,11061.37,16
2017-09-30,wheat,197105.11,13
2017-10-31,rice,1496931.06,10
2017-10-31,wheat,1477590.9,15
2017-11-30,rice,2272912.05,20
2017-11-30,wheat,1355274.66,18
2017-12-31,rice,2294744.78,23
2017-12-31,wheat,1408013.91,19
2018-01-31,rice,3644142.66,29
2018-01-31,wheat,3622706.16,22
2018-02-28,rice,3593782.87,29
2018-02-28,wheat,3222087.61,23
2018-03-31,rice,3204917.64,30
2018-03-31,wheat,2870438.5,22
2018-04-30,rice,3773532.0,30
2018-04-30,wheat,4023348.16,22
2018-05-31,rice,3640208.16,30
2018-05-31,wheat,2998937.25,20
2018-06-30,rice,3405887.32,29
2018-06-30,wheat,3229909.78,20
2018-07-31,rice,3336859.08,30
2018-07-31,wheat,2996345.99,21
2018-08-31,rice,3327749.87,30
2018-08-31,wheat,2959393.57,22
2018-09-30,rice,3370379.02,30
2018-09-30,wheat,2912501.38,21
2018-10-31,rice,3436182.2,29
2018-10-31,wheat,2888827.22,20
2018-11-30,rice,3209141.46,30
2018-11-30,wheat,2633994.71,19
2018-12-31,rice,3243608.43,30
2018-12-31,wheat,2676598.45,20
2019-01-31,rice,3342909.33,30
2019-01-31,wheat,2888549.99,21
2019-02-28,rice,3898971.7199999997,29
2019-02-28,wheat,2878867.41,21
2019-03-31,rice,3291502.19,28
2019-03-31,wheat,2925156.66,21
2019-04-30,rice,3227163.65,29
2019-04-30,wheat,2530075.6,22
2019-05-31,rice,3368411.44,29
2019-05-31,wheat,2554580.16,20
2019-06-30,rice,3444630.51,29
2019-06-30,wheat,3043260.83,21
2019-07-31,rice,3604498.45,28
2019-07-31,wheat,4152472.24,21
2019-08-31,rice,3223686.79,28
2019-08-31,wheat,3702309.66,21
2019-09-30,rice,2956161.6,29
2019-09-30,wheat,2945281.93,21
2019-10-31,rice,2924708.58,28
2019-10-31,wheat,2648553.9,20
2019-11-30,rice,3474873.16,29
2019-11-30,wheat,2985157.6,20
2019-12-31,rice,3690936.94,30
2019-12-31,wheat,2681070.06,20
2020-01-31,rice,3785330.71,29
2020-01-31,wheat,2911000.74,22
2020-02-29,rice,4393987.57,30
2020-02-29,wheat,2714498.01,21
2020-03-31,rice,3358383.99,30
2020-03-31,wheat,3073899.51,20
2020-04-30,rice,3029287.77,28
2020-04-30,wheat,2362520.06,20
2020-05-31,rice,2858317.84,30
2020-05-31,wheat,2282581.25,20
2020-06-30,rice,2835898.83,30
2020-06-30,wheat,2220511.45,21
2020-07-31,rice,2872961.49,30
2020-07-31,wheat,2600227.02,20
2020-08-31,rice,2810226.49,30
2020-08-31,wheat,2681212.4,20
2020-09-30,rice,704891.64,9
2020-09-30,wheat,225897.01,4
2020-10-31,rice,2812804.24,31
2020-10-31,wheat,2390222.67,21
2020-11-30,rice,2705475.12,31
2020-11-30,wheat,2045340.57,21
2020-12-31,rice,2754407.21,30
2020-12-31,wheat,2118755.35,20
2021-01-31,rice,2726523.54,31
2021-01-31,wheat,2186409.78,20
2021-02-28,rice,2795930.23,31
2021-02-28,wheat,2554452.49,20
2021-03-31,rice,2814266.99,31
2021-03-31,wheat,2991650.66,21
2021-04-30,rice,2691912.08,31
2021-04-30,wheat,2313346.31,20
2021-05-31,rice,2581601.65,31
2021-05-31,wheat,2376165.37,20
2021-06-30,rice,2710289.71,31
2021-06-30,wheat,2549120.28,20
2021-07-31,rice,2122942.76,29
2021-07-31,wheat,2279768.81,21
2021-08-31,rice,2059047.56,29
2021-08-31,wheat,2248577.59,20
2021-09-30,rice,1438232.72,23
2021-09-30,wheat,1439171.25,15
2021-10-31,rice,6445.0,1
2021-10-31,wheat,599.0,1
